a | ARTICLE
crude | ADJECTIVE 
crumb | ADJECTIVE 
crutched | ADJECTIVE 
cupped | ADJECTIVE 
cur | ADJECTIVE 
curst | ADJECTIVE 
cusped | ADJECTIVE 
cute | ADJECTIVE 
daft | ADJECTIVE 
damn | ADJECTIVE 
damned | ADJECTIVE 
damp | ADJECTIVE 
dang | ADJECTIVE 
danged | ADJECTIVE 
dank | ADJECTIVE 
darn | ADJECTIVE 
darned | ADJECTIVE 
dash | ADJECTIVE 
dashed | ADJECTIVE 
deaf | ADJECTIVE 
deal | ADJECTIVE 
deft | ADJECTIVE 
dense | ADJECTIVE 
dere | ADJECTIVE 
dern | ADJECTIVE 
dim | ADJECTIVE 
dinge | ADJECTIVE 
dink | ADJECTIVE 
dire | ADJECTIVE 
dished | ADJECTIVE 
doiled | ADJECTIVE 
domed | ADJECTIVE 
done | ADJECTIVE 
douce | ADJECTIVE 
dour | ADJECTIVE 
dowf | ADJECTIVE 
drab | ADJECTIVE 
dread | ADJECTIVE 
drear | ADJECTIVE 
dree | ADJECTIVE 
dreich | ADJECTIVE 
dried | ADJECTIVE 
droll | ADJECTIVE 
drunk | ADJECTIVE 
dryer | ADJECTIVE 
dud | ADJECTIVE 
due | ADJECTIVE 
dull | ADJECTIVE 
dure | ADJECTIVE 
dusk | ADJECTIVE 
eared | ADJECTIVE 
earned | ADJECTIVE 
eath | ADJECTIVE 
ebb | ADJECTIVE 
echt | ADJECTIVE 
edge | ADJECTIVE 
eight | ADJECTIVE 
eighth | ADJECTIVE 
eild | ADJECTIVE 
elect | ADJECTIVE 
else | ADJECTIVE 
eyed | ADJECTIVE 
fab | ADJECTIVE 
fain | ADJECTIVE 
faint | ADJECTIVE 
fake | ADJECTIVE 
famed | ADJECTIVE 
far | ADJECTIVE 
farm | ADJECTIVE 
fat | ADJECTIVE 
feal | ADJECTIVE 
feat | ADJECTIVE 
feigned | ADJECTIVE 
fell | ADJECTIVE 
felt | ADJECTIVE 
few | ADJECTIVE 
fey | ADJECTIVE 
fierce | ADJECTIVE 
finned | ADJECTIVE 
firm | ADJECTIVE 
fit | ADJECTIVE 
flawed | ADJECTIVE 
fledged | ADJECTIVE 
flexed | ADJECTIVE 
flip | ADJECTIVE 
flown | ADJECTIVE 
flush | ADJECTIVE 
fogged | ADJECTIVE 
foiled | ADJECTIVE 
fold | ADJECTIVE 
fond | ADJECTIVE 
fool | ADJECTIVE 
forced | ADJECTIVE 
fore | ADJECTIVE 
forte | ADJECTIVE 
fou | ADJECTIVE 
foul | ADJECTIVE 
found | ADJECTIVE 
frail | ADJECTIVE 
fraught | ADJECTIVE 
freer | ADJECTIVE 
fremd | ADJECTIVE 
fresh | ADJECTIVE 
frigid | ADJECTIVE 
frilled | ADJECTIVE 
fringed | ADJECTIVE 
frogged | ADJECTIVE 
frore | ADJECTIVE 
fumed | ADJECTIVE 
fun | ADJECTIVE 
funked | ADJECTIVE 
furred | ADJECTIVE 
gauche | ADJECTIVE 
gauge | ADJECTIVE 
ghast | ADJECTIVE 
gibbed | ADJECTIVE 
gilt | ADJECTIVE 
ginned | ADJECTIVE 
girt | ADJECTIVE 
glare | ADJECTIVE 
glazed | ADJECTIVE 
gleg | ADJECTIVE 
glib | ADJECTIVE 
glum | ADJECTIVE 
gnarled | ADJECTIVE 
gone | ADJECTIVE 
gorged | ADJECTIVE 
grab | ADJECTIVE 
grained | ADJECTIVE 
grave | ADJECTIVE 
greige | ADJECTIVE 
grilled | ADJECTIVE 
grim | ADJECTIVE 
grooved | ADJECTIVE 
grouse | ADJECTIVE 
grown | ADJECTIVE 
gruff | ADJECTIVE 
grum | ADJECTIVE 
gules | ADJECTIVE 
gummed | ADJECTIVE 
gunned | ADJECTIVE 
guns | ADJECTIVE 
halt | ADJECTIVE 
harsh | ADJECTIVE 
hask | ADJECTIVE 
heeled | ADJECTIVE 
heigh | ADJECTIVE 
held | ADJECTIVE 
helmed | ADJECTIVE 
hep | ADJECTIVE 
here | ADJECTIVE 
het | ADJECTIVE 
hewn | ADJECTIVE 
hex | ADJECTIVE 
hick | ADJECTIVE 
hipped | ADJECTIVE 
hit | ADJECTIVE 
hoar | ADJECTIVE 
hoarse | ADJECTIVE 
hogged | ADJECTIVE 
hoofed | ADJECTIVE 
hooked | ADJECTIVE 
hued | ADJECTIVE 
huge | ADJECTIVE 
hurt | ADJECTIVE 
iced | ADJECTIVE 
incog | ADJECTIVE 
inter | ADJECTIVE 
jade | ADJECTIVE 
jimp | ADJECTIVE 
kempt | ADJECTIVE 
kept | ADJECTIVE 
keyed | ADJECTIVE 
kin | ADJECTIVE 
kind | ADJECTIVE 
kitsch | ADJECTIVE 
knurled | ADJECTIVE 
kraal | ADJECTIVE 
laigh | ADJECTIVE 
laith | ADJECTIVE 
lame | ADJECTIVE 
langued | ADJECTIVE 
lank | ADJECTIVE 
lashed | ADJECTIVE 
lax | ADJECTIVE 
leafed | ADJECTIVE 
leal | ADJECTIVE 
lean | ADJECTIVE 
leaved | ADJECTIVE 
left | ADJECTIVE 
less | ADJECTIVE 
lewd | ADJECTIVE 
licht | ADJECTIVE 
lief | ADJECTIVE 
liege | ADJECTIVE 
like | ADJECTIVE 
limbed | ADJECTIVE 
limp | ADJECTIVE 
linked | ADJECTIVE 
lipped | ADJECTIVE 
lit | ADJECTIVE 
lithe | ADJECTIVE 
litho | ADJECTIVE 
lived | ADJECTIVE 
loath | ADJECTIVE 
lobed | ADJECTIVE 
lodged | ADJECTIVE 
log | ADJECTIVE 
lone | ADJECTIVE 
looped | ADJECTIVE 
lorn | ADJECTIVE 
loth | ADJECTIVE 
louche | ADJECTIVE 
loud | ADJECTIVE 
lown | ADJECTIVE 
lowse | ADJECTIVE 
lush | ADJECTIVE 
luxe | ADJECTIVE 
mad | ADJECTIVE 
made | ADJECTIVE 
mailed | ADJECTIVE 
mair | ADJECTIVE 
maned | ADJECTIVE 
manned | ADJECTIVE 
marked | ADJECTIVE 
marled | ADJECTIVE 
masked | ADJECTIVE 
mat | ADJECTIVE 
matte | ADJECTIVE 
mauve | ADJECTIVE 
meek | ADJECTIVE 
meet | ADJECTIVE 
mere | ADJECTIVE 
mesne | ADJECTIVE 
metal | ADJECTIVE 
miffed | ADJECTIVE 
milch | ADJECTIVE 
mild | ADJECTIVE 
milled | ADJECTIVE 
mim | ADJECTIVE 
mob | ADJECTIVE 
mod | ADJECTIVE 
moire | ADJECTIVE 
moist | ADJECTIVE 
moldy | ADJECTIVE 
mooned | ADJECTIVE 
moot | ADJECTIVE 
mown | ADJECTIVE 
much | ADJECTIVE 
mum | ADJECTIVE 
murk | ADJECTIVE 
must | ADJECTIVE 
mute | ADJECTIVE 
mzee | ADJECTIVE 
nae | ADJECTIVE 
naught | ADJECTIVE 
neap | ADJECTIVE 
neaped | ADJECTIVE 
near | ADJECTIVE 
neat | ADJECTIVE 
nesh | ADJECTIVE 
nett | ADJECTIVE 
next | ADJECTIVE 
nigh | ADJECTIVE 
ninth | ADJECTIVE 
nowed | ADJECTIVE 
nude | ADJECTIVE 
numb | ADJECTIVE 
nuts | ADJECTIVE 
oared | ADJECTIVE 
oke | ADJECTIVE 
once | ADJECTIVE 
ope | ADJECTIVE 
over | ADJECTIVE 
own | ADJECTIVE 
paced | ADJECTIVE 
paid | ADJECTIVE 
pained | ADJECTIVE 
pale | ADJECTIVE 
paned | ADJECTIVE 
passed | ADJECTIVE 
peaked | ADJECTIVE 
peart | ADJECTIVE 
peeved | ADJECTIVE 
pent | ADJECTIVE 
perk | ADJECTIVE 
picked | ADJECTIVE 
piled | ADJECTIVE 
pique | ADJECTIVE 
pissed | ADJECTIVE 
pitched | ADJECTIVE 
plumb | ADJECTIVE 
plump | ADJECTIVE 
plus | ADJECTIVE 
plush | ADJECTIVE 
pocked | ADJECTIVE 
poised | ADJECTIVE 
pops | ADJECTIVE 
posh | ADJECTIVE 
pouched | ADJECTIVE 
prest | ADJECTIVE 
prim | ADJECTIVE 
print | ADJECTIVE 
prompt | ADJECTIVE 
prone | ADJECTIVE 
proud | ADJECTIVE 
pseud | ADJECTIVE 
puir | ADJECTIVE 
punk | ADJECTIVE 
pushed | ADJECTIVE 
quack | ADJECTIVE 
quaint | ADJECTIVE 
quare | ADJECTIVE 
queer | ADJECTIVE 
quit | ADJECTIVE 
quits | ADJECTIVE 
raised | ADJECTIVE 
raked | ADJECTIVE 
ranged | ADJECTIVE 
rapt | ADJECTIVE 
rare | ADJECTIVE 
rash | ADJECTIVE 
rath | ADJECTIVE 
rathe | ADJECTIVE 
refer | ADJECTIVE 
rent | ADJECTIVE 
rid | ADJECTIVE 
rife | ADJECTIVE 
ripe | ADJECTIVE 
roan | ADJECTIVE 
roast | ADJECTIVE 
ruffed | ADJECTIVE 
runed | ADJECTIVE 
rush | ADJECTIVE 
sad | ADJECTIVE 
said | ADJECTIVE 
same | ADJECTIVE 
sane | ADJECTIVE 
sap | ADJECTIVE 
scald | ADJECTIVE 
scaled | ADJECTIVE 
scalled | ADJECTIVE 
scant | ADJECTIVE 
scarce | ADJECTIVE 
schlock | ADJECTIVE 
scorched | ADJECTIVE 
score | ADJECTIVE 
scrap | ADJECTIVE 
screwed | ADJECTIVE 
scrimp | ADJECTIVE 
sear | ADJECTIVE 
sec | ADJECTIVE 
sedged | ADJECTIVE 
seen | ADJECTIVE 
self | ADJECTIVE 
sent | ADJECTIVE 
sere | ADJECTIVE 
sewn | ADJECTIVE 
sexed | ADJECTIVE 
sham | ADJECTIVE 
shaped | ADJECTIVE 
sheared | ADJECTIVE 
shed | ADJECTIVE 
sheer | ADJECTIVE 
shelled | ADJECTIVE 
shill | ADJECTIVE 
shoal | ADJECTIVE 
shod | ADJECTIVE 
shorn | ADJECTIVE 
shrewd | ADJECTIVE 
shrill | ADJECTIVE 
shrunk | ADJECTIVE 
shut | ADJECTIVE 
shy | ADJECTIVE 
sixth | ADJECTIVE 
size | ADJECTIVE 
sized | ADJECTIVE 
skeigh | ADJECTIVE 
skew | ADJECTIVE 
ski | ADJECTIVE 
skilled | ADJECTIVE 
skim | ADJECTIVE 
skinned | ADJECTIVE 
skint | ADJECTIVE 
slain | ADJECTIVE 
slant | ADJECTIVE 
slate | ADJECTIVE 
sleek | ADJECTIVE 
slick | ADJECTIVE 
slier | ADJECTIVE 
sliest | ADJECTIVE 
slight | ADJECTIVE 
sloshed | ADJECTIVE 
slub | ADJECTIVE 
slum | ADJECTIVE 
slung | ADJECTIVE 
sly | ADJECTIVE 
smashed | ADJECTIVE 
smoked | ADJECTIVE 
smug | ADJECTIVE 
snecked | ADJECTIVE 
snide | ADJECTIVE 
snod | ADJECTIVE 
snub | ADJECTIVE 
snuff | ADJECTIVE 
snug | ADJECTIVE 
sold | ADJECTIVE 
sole | ADJECTIVE 
some | ADJECTIVE 
sooth | ADJECTIVE 
sore | ADJECTIVE 
sought | ADJECTIVE 
sown | ADJECTIVE 
spare | ADJECTIVE 
sparse | ADJECTIVE 
spec | ADJECTIVE 
spent | ADJECTIVE 
spick | ADJECTIVE 
spired | ADJECTIVE 
splay | ADJECTIVE 
spoilt | ADJECTIVE 
sport | ADJECTIVE 
spruce | ADJECTIVE 
spry | ADJECTIVE 
spurred | ADJECTIVE 
squab | ADJECTIVE 
squat | ADJECTIVE 
squint | ADJECTIVE 
stacked | ADJECTIVE 
staged | ADJECTIVE 
staid | ADJECTIVE 
stale | ADJECTIVE 
stalked | ADJECTIVE 
starred | ADJECTIVE 
staunch | ADJECTIVE 
steep | ADJECTIVE 
stemmed | ADJECTIVE 
stewed | ADJECTIVE 
stey | ADJECTIVE 
stiff | ADJECTIVE 
stoned | ADJECTIVE 
stopped | ADJECTIVE 
store | ADJECTIVE 
strait | ADJECTIVE 
straw | ADJECTIVE 
stray | ADJECTIVE 
stretch | ADJECTIVE 
strewn | ADJECTIVE 
strict | ADJECTIVE 
stringed | ADJECTIVE 
striped | ADJECTIVE 
strung | ADJECTIVE 
stuck | ADJECTIVE 
stuffed | ADJECTIVE 
stung | ADJECTIVE 
suave | ADJECTIVE 
such | ADJECTIVE 
sunk | ADJECTIVE 
super | ADJECTIVE 
surd | ADJECTIVE 
sure | ADJECTIVE 
svelte | ADJECTIVE 
swank | ADJECTIVE 
swart | ADJECTIVE 
swarth | ADJECTIVE 
sweer | ADJECTIVE 
swell | ADJECTIVE 
swept | ADJECTIVE 
swish | ADJECTIVE 
switch | ADJECTIVE 
sworn | ADJECTIVE 
tai | ADJECTIVE 
talc | ADJECTIVE 
tame | ADJECTIVE 
tan | ADJECTIVE 
tanked | ADJECTIVE 
tart | ADJECTIVE 
taught | ADJECTIVE 
taunt | ADJECTIVE 
taut | ADJECTIVE 
teen | ADJECTIVE 
teind | ADJECTIVE 
tenth | ADJECTIVE 
terse | ADJECTIVE 
thae | ADJECTIVE 
then | ADJECTIVE 
thick | ADJECTIVE 
thin | ADJECTIVE 
thraw | ADJECTIVE 
thrawn | ADJECTIVE 
through | ADJECTIVE 
thrown | ADJECTIVE 
thru | ADJECTIVE 
thwart | ADJECTIVE 
tied | ADJECTIVE 
tierced | ADJECTIVE 
tight | ADJECTIVE 
tiled | ADJECTIVE 
tinct | ADJECTIVE 
tinned | ADJECTIVE 
tired | ADJECTIVE 
toe | ADJECTIVE 
toed | ADJECTIVE 
told | ADJECTIVE 
tongued | ADJECTIVE 
toom | ADJECTIVE 
toothed | ADJECTIVE 
tops | ADJECTIVE 
torn | ADJECTIVE 
touched | ADJECTIVE 
tough | ADJECTIVE 
trad | ADJECTIVE 
treed | ADJECTIVE 
tref | ADJECTIVE 
tressed | ADJECTIVE 
tried | ADJECTIVE 
trig | ADJECTIVE 
trim | ADJECTIVE 
trine | ADJECTIVE 
triste | ADJECTIVE 
trite | ADJECTIVE 
trussed | ADJECTIVE 
tum | ADJECTIVE 
twee | ADJECTIVE 
twelfth | ADJECTIVE 
twill | ADJECTIVE 
twin | ADJECTIVE 
twinned | ADJECTIVE 
twp | ADJECTIVE 
ult | ADJECTIVE 
used | ADJECTIVE 
vague | ADJECTIVE 
vain | ADJECTIVE 
vast | ADJECTIVE 
veiled | ADJECTIVE 
versed | ADJECTIVE 
vexed | ADJECTIVE 
vile | ADJECTIVE 
vogue | ADJECTIVE 
voiced | ADJECTIVE 
void | ADJECTIVE 
vulned | ADJECTIVE 
wale | ADJECTIVE 
waste | ADJECTIVE 
waur | ADJECTIVE 
waved | ADJECTIVE 
webbed | ADJECTIVE 
wed | ADJECTIVE 
wedged | ADJECTIVE 
wee | ADJECTIVE 
well | ADJECTIVE 
wersh | ADJECTIVE 
wheeled | ADJECTIVE 
whelked | ADJECTIVE 
whist | ADJECTIVE 
whorled | ADJECTIVE 
wide | ADJECTIVE 
willed | ADJECTIVE 
winged | ADJECTIVE 
wired | ADJECTIVE 
won | ADJECTIVE 
worked | ADJECTIVE 
worn | ADJECTIVE 
worse | ADJECTIVE 
worst | ADJECTIVE 
wound | ADJECTIVE 
wrapped | ADJECTIVE 
wroth | ADJECTIVE 
wud | ADJECTIVE 
yare | ADJECTIVE 
yauld | ADJECTIVE 
yeld | ADJECTIVE 
yon | ADJECTIVE 
zonked | ADJECTIVE 
aft | ADVERB 
all | ADVERB 
anes | ADVERB 
anon | ADVERB 
aught | ADVERB 
bang | ADVERB 
bene | ADVERB 
bis | ADVERB 
blamed | ADVERB 
bolt | ADVERB 
but | ADVERB 
cheap | ADVERB 
chock | ADVERB 
clean | ADVERB 
cool | ADVERB 
course | ADVERB 
damn | ADVERB 
damned | ADVERB 
dang | ADVERB 
darn | ADVERB 
darned | ADVERB 
dash | ADVERB 
dashed | ADVERB 
days | ADVERB 
dern | ADVERB 
dooms | ADVERB 
dryer | ADVERB 
due | ADVERB 
e'er | ADVERB 
eath | ADVERB 
eft | ADVERB 
eighth | ADVERB 
else | ADVERB 
erst | ADVERB 
fain | ADVERB 
far | ADVERB 
firm | ADVERB 
flop | ADVERB 
flush | ADVERB 
fore | ADVERB 
forte | ADVERB 
foul | ADVERB 
fresh | ADVERB 
fro | ADVERB 
gey | ADVERB 
grave | ADVERB 
heads | ADVERB 
heap | ADVERB 
heigh | ADVERB 
hence | ADVERB 
here | ADVERB 
how | ADVERB 
incog | ADVERB 
laigh | ADVERB 
lark | ADVERB 
left | ADVERB 
less | ADVERB 
lest | ADVERB 
licht | ADVERB 
lief | ADVERB 
lieve | ADVERB 
like | ADVERB 
loads | ADVERB 
lots | ADVERB 
loud | ADVERB 
lowse | ADVERB 
mair | ADVERB 
mile | ADVERB 
mobs | ADVERB 
much | ADVERB 
nae | ADVERB 
natch | ADVERB 
naught | ADVERB 
nay | ADVERB 
ne'er | ADVERB 
near | ADVERB 
needs | ADVERB 
next | ADVERB 
nigh | ADVERB 
nights | ADVERB 
ninth | ADVERB 
none | ADVERB 
nope | ADVERB 
now | ADVERB 
o'er | ADVERB 
oft | ADVERB 
once | ADVERB 
ought | ADVERB 
over | ADVERB 
phut | ADVERB 
please | ADVERB 
plop | ADVERB 
plumb | ADVERB 
plump | ADVERB 
plunk | ADVERB 
posh | ADVERB 
prompt | ADVERB 
proud | ADVERB 
quite | ADVERB 
same | ADVERB 
scant | ADVERB 
scarce | ADVERB 
sheer | ADVERB 
since | ADVERB 
sith | ADVERB 
sixth | ADVERB 
skeigh | ADVERB 
slap | ADVERB 
slier | ADVERB 
smack | ADVERB 
smash | ADVERB 
some | ADVERB 
soon | ADVERB 
sore | ADVERB 
spang | ADVERB 
stiff | ADVERB 
such | ADVERB 
super | ADVERB 
sure | ADVERB 
swith | ADVERB 
syne | ADVERB 
tails | ADVERB 
tenth | ADVERB 
that | ADVERB 
then | ADVERB 
thence | ADVERB 
there | ADVERB 
thick | ADVERB 
thin | ADVERB 
this | ADVERB 
tho | ADVERB 
though | ADVERB 
thrice | ADVERB 
through | ADVERB 
thru | ADVERB 
thus | ADVERB 
thwart | ADVERB 
tight | ADVERB 
ton | ADVERB 
too | ADVERB 
tough | ADVERB 
trim | ADVERB 
twice | ADVERB 
vite | ADVERB 
waur | ADVERB 
way | ADVERB 
ways | ADVERB 
week | ADVERB 
well | ADVERB 
wham | ADVERB 
what | ADVERB 
when | ADVERB 
whence | ADVERB 
where | ADVERB 
whiles | ADVERB 
why | ADVERB 
wide | ADVERB 
wit | ADVERB 
worse | ADVERB 
worst | ADVERB 
yare | ADVERB 
yea | ADVERB 
yeah | ADVERB 
yep | ADVERB 
yes | ADVERB 
yet | ADVERB 
yon | ADVERB 
yore | ADVERB 
abb | NOUN 
abbs | NOUN 
ace | NOUN 
ache | NOUN 
aches | NOUN 
adz | NOUN 
adze | NOUN 
aid | NOUN 
aide | NOUN 
aides | NOUN 
aids | NOUN 
ail | NOUN 
ails | NOUN 
aim | NOUN 
aims | NOUN 
ain | NOUN 
ain't | NOUN 
airs | NOUN 
airt | NOUN 
airts | NOUN 
aisle | NOUN 
aisles | NOUN 
ait | NOUN 
aitch | NOUN 
aits | NOUN 
ake | NOUN 
akes | NOUN 
alb | NOUN 
albs | NOUN 
ale | NOUN 
ales | NOUN 
alfa | NOUN 
alfas | NOUN 
alias | NOUN 
all | NOUN 
alms | NOUN 
alp | NOUN 
alps | NOUN 
alt | NOUN 
alts | NOUN 
alum | NOUN 
alums | NOUN 
amp | NOUN 
amps | NOUN 
and | NOUN 
ands | NOUN 
ane | NOUN 
anes | NOUN 
angst | NOUN 
angsts | NOUN 
ankh | NOUN 
ankhs | NOUN 
ant | NOUN 
ants | NOUN 
ape | NOUN 
apes | NOUN 
apse | NOUN 
arch | NOUN 
arcs | NOUN 
are | NOUN 
aren't | NOUN 
ares | NOUN 
ark | NOUN 
arks | NOUN 
arm | NOUN 
arms | NOUN 
arts | NOUN 
asp | NOUN 
asps | NOUN 
ate | NOUN 
aught | NOUN 
aughts | NOUN 
auk | NOUN 
auks | NOUN 
aune | NOUN 
aunes | NOUN 
auto | NOUN 
autos | NOUN 
awe | NOUN 
awes | NOUN 
awl | NOUN 
awls | NOUN 
awn | NOUN 
awns | NOUN 
axe | NOUN 
aye | NOUN 
ayes | NOUN 
ayre | NOUN 
ayres | NOUN 
baas | NOUN 
bade | NOUN 
badge | NOUN 
bael | NOUN 
baels | NOUN 
baff | NOUN 
baffs | NOUN 
bag | NOUN 
bags | NOUN 
baht | NOUN 
bahts | NOUN 
bail | NOUN 
bails | NOUN 
bairn | NOUN 
bairns | NOUN 
bait | NOUN 
baits | NOUN 
baize | NOUN 
bake | NOUN 
bakes | NOUN 
bale | NOUN 
bales | NOUN 
balk | NOUN 
balks | NOUN 
ban | NOUN 
banc | NOUN 
bancs | NOUN 
bane | NOUN 
banes | NOUN 
bang | NOUN 
bangs | NOUN 
banns | NOUN 
bans | NOUN 
bant | NOUN 
bants | NOUN 
bap | NOUN 
baps | NOUN 
barb | NOUN 
barbe | NOUN 
barbes | NOUN 
barbs | NOUN 
barm | NOUN 
barms | NOUN 
barque | NOUN 
barques | NOUN 
barre | NOUN 
barred | NOUN 
barres | NOUN 
bash | NOUN 
bast | NOUN 
baste | NOUN 
bastes | NOUN 
basts | NOUN 
bate | NOUN 
bates | NOUN 
bathe | NOUN 
bathes | NOUN 
batt | NOUN 
batts | NOUN 
baud | NOUN 
bauds | NOUN 
baulk | NOUN 
baulks | NOUN 
bawd | NOUN 
bawds | NOUN 
bawl | NOUN 
bawls | NOUN 
bead | NOUN 
beads | NOUN 
beak | NOUN 
beaks | NOUN 
beaut | NOUN 
beauts | NOUN 
beaux | NOUN 
beech | NOUN 
beep | NOUN 
beeps | NOUN 
beeves | NOUN 
beg | NOUN 
begs | NOUN 
beige | NOUN 
belch | NOUN 
belt | NOUN 
belts | NOUN 
bends | NOUN 
bene | NOUN 
benes | NOUN 
bent | NOUN 
bents | NOUN 
berk | NOUN 
berks | NOUN 
berm | NOUN 
berms | NOUN 
berth | NOUN 
berths | NOUN 
bet | NOUN 
bets | NOUN 
bey | NOUN 
beys | NOUN 
bhang | NOUN 
bice | NOUN 
bid | NOUN 
bids | NOUN 
bield | NOUN 
bields | NOUN 
bier | NOUN 
biers | NOUN 
biff | NOUN 
biffs | NOUN 
bigg | NOUN 
biggs | NOUN 
bight | NOUN 
bights | NOUN 
bike | NOUN 
bikes | NOUN 
bile | NOUN 
biles | NOUN 
bilge | NOUN 
bilk | NOUN 
bilks | NOUN 
bin | NOUN 
bine | NOUN 
bines | NOUN 
binge | NOUN 
bins | NOUN 
biog | NOUN 
biogs | NOUN 
birch | NOUN 
birk | NOUN 
birks | NOUN 
birl | NOUN 
birls | NOUN 
birr | NOUN 
birrs | NOUN 
birse | NOUN 
bise | NOUN 
bish | NOUN 
bisque | NOUN 
bisques | NOUN 
bit | NOUN 
bitch | NOUN 
bite | NOUN 
bites | NOUN 
bits | NOUN 
bitt | NOUN 
bitts | NOUN 
biz | NOUN 
blab | NOUN 
blabs | NOUN 
blague | NOUN 
blagues | NOUN 
blah | NOUN 
blahs | NOUN 
blain | NOUN 
blains | NOUN 
blame | NOUN 
blames | NOUN 
blare | NOUN 
blares | NOUN 
bleach | NOUN 
bleak | NOUN 
bleaks | NOUN 
bleat | NOUN 
bleats | NOUN 
bleb | NOUN 
blebs | NOUN 
bleed | NOUN 
bleeds | NOUN 
bleep | NOUN 
bleeps | NOUN 
blend | NOUN 
blende | NOUN 
blends | NOUN 
blet | NOUN 
blets | NOUN 
blight | NOUN 
blights | NOUN 
blimp | NOUN 
blimps | NOUN 
blink | NOUN 
blinks | NOUN 
blintz | NOUN 
blintze | NOUN 
blip | NOUN 
blips | NOUN 
bloat | NOUN 
bloats | NOUN 
blob | NOUN 
blobs | NOUN 
bloc | NOUN 
blocs | NOUN 
bloke | NOUN 
blokes | NOUN 
blond | NOUN 
blonde | NOUN 
blondes | NOUN 
blonds | NOUN 
bloom | NOUN 
blooms | NOUN 
blot | NOUN 
blotch | NOUN 
blots | NOUN 
blouse | NOUN 
bludge | NOUN 
blues | NOUN 
bluet | NOUN 
bluff | NOUN 
bluffs | NOUN 
blur | NOUN 
blurb | NOUN 
blurbs | NOUN 
blurs | NOUN 
blush | NOUN 
boar | NOUN 
boars | NOUN 
boart | NOUN 
boarts | NOUN 
boast | NOUN 
boasts | NOUN 
boat | NOUN 
boats | NOUN 
bobs | NOUN 
boche | NOUN 
bock | NOUN 
bocks | NOUN 
boff | NOUN 
boffs | NOUN 
bold | NOUN 
bole | NOUN 
boles | NOUN 
bolt | NOUN 
bolts | NOUN 
bombe | NOUN 
bombes | NOUN 
bonce | NOUN 
bong | NOUN 
bongs | NOUN 
bonne | NOUN 
bonze | NOUN 
boo | NOUN 
boob | NOUN 
boobs | NOUN 
boom | NOUN 
